,0,1,2,3,4,5,6,7
BALANCE,0.14787051720035285,0.8062090665033848,-0.15942006069548398,-0.29842377366737466,0.05425756077980691,0.16195895734588112,0.20973432186800595,-0.055766498890716325
BALANCE_FREQUENCY,0.26556134930912667,0.2991581823698453,-0.41296535918015004,-0.2050387128509518,-0.49972234319088765,-0.3199759835087363,0.22360570722736847,0.28413948482833234
PURCHASES,0.906069060975198,0.09654134520407504,0.22792465276788804,-0.020317238111000235,-0.030830984415601424,0.12337406372587996,-0.1826936250607217,0.08866321119578795
ONEOFF_PURCHASES,0.7540386106000455,0.12957849428018575,0.48518503871644275,-0.10472799052316391,-0.212893659499092,0.07001643749881466,-0.0994319186923944,0.0867566834722396
INSTALLMENTS_PURCHASES,0.7581792670921115,-0.01699564698281869,-0.2861043119421811,0.13955075038067202,0.24714465042799816,0.13021581083843065,-0.22153004778392765,0.02623973177317865
CASH_ADVANCE,-0.14735541837126492,0.8205071073226174,0.005270057852190721,0.2930219948773596,0.11316047954429213,-0.059509846653322804,0.035512420079904704,-0.07636635442632607
PURCHASES_FREQUENCY,0.7599913027203491,-0.26877887661041877,-0.37264390779890155,0.1819083243676141,-0.1239696439132819,-0.06242356925955409,0.14316764995758197,-0.16594889557137907
ONEOFF_PURCHASES_FREQUENCY,0.6788974198902251,0.03115146687922599,0.3711864716799545,-0.08484734844826754,-0.42256408831918035,-0.10603808398172573,0.13957992425904323,-0.09979724905863266
PURCHASES_INSTALLMENTS_FREQUENCY,0.6476386426731925,-0.25606042158077563,-0.5939455174807048,0.24362260088684876,0.09803248884533196,-0.00578671319096399,-0.0018393772133286608,-0.168763161884567
CASH_ADVANCE_FREQUENCY,-0.25249321441846184,0.798215557013136,-0.06438719679956088,0.3341352634839151,-0.1996943449610879,-0.12481392988901287,-0.12835085449131928,-0.027399929452810556
CASH_ADVANCE_TRX,-0.18267463310676682,0.8025109413206625,-0.07397184868455767,0.3583241007360127,-0.1222172368442619,-0.18176507566903435,-0.16212042887118155,-0.028578304224977622
PURCHASES_TRX,0.8877330996562216,0.021637917511651686,-0.05946966952022096,0.03496858108102199,-0.08350667505736302,0.04467958340021186,-0.15252546548935708,-0.07397548803842807
CREDIT_LIMIT,0.41128823745934295,0.47951875665929744,0.21061895531932862,-0.1343768059827991,0.325902211493506,-0.01536014525863943,0.47907347170500303,-0.3486714508789081
PAYMENTS,0.5010779302167027,0.5134535594815659,0.2742096038043372,0.14904463166071777,0.30775989065985315,-0.04749881915894002,-0.1622139259793752,0.16328225227683804
MINIMUM_PAYMENTS,0.14185620458877932,0.5198345422349808,-0.33782506451814637,-0.3851729330031378,0.1712796937248629,0.3448430541589951,0.04197359725852179,0.37562410052621664
PRC_FULL_PAYMENT,0.3050190978440305,-0.34178829995018456,0.17168458447647975,0.475787335534503,0.28785247307638573,-0.269033551520996,0.3860969352888103,0.4268405761034728
TENURE,0.18396949845021376,0.020932936495017047,-0.05981353826017553,-0.5229942916781923,0.3320267694921849,-0.7011813358114887,-0.24551170140132808,-0.05055906780200984
